Дата,Сообщение
2022-08-08T03:00:00.000+03:00,"📈 MAX UPDATED (confirmed): newMax=0.309, bar=82, FULL CYCLE RESET to Stage 1"
2022-08-08T03:00:00.000+03:00,"📊 BUY CHECK bar=102: low=0.218, o2=0.196"
2022-08-08T03:00:00.000+03:00,"📊 Positions: pos1=false, pos2=false, pos3=false"
2022-08-08T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-08T03:00:00.000+03:00,"✅ BUY1: bar=102, price=0.219, cycleId=0, stage=1, pendingMax=false"
2022-08-08T03:00:00.000+03:00,"🎨 DRAW CHECK bar=102: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=0, currentCycleId=0"
2022-08-08T03:00:00.000+03:00,"📦 BOX CREATE: startBar=82, endBar=102, cycle=0, minBar=30, valid=1"
2022-08-08T03:00:00.000+03:00,"✅ BOXES CREATED: bar=102, fib_1=0.309, fib_0=0.125"
2022-08-09T03:00:00.000+03:00,"📊 BUY CHECK bar=103: low=0.212, o2=0.196"
2022-08-09T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=false, pos3=false"
2022-08-09T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-09T03:00:00.000+03:00,"🎨 DRAW CHECK bar=103: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-10T03:00:00.000+03:00,"📊 BUY CHECK bar=104: low=0.212, o2=0.196"
2022-08-10T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=false, pos3=false"
2022-08-10T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
2022-08-10T03:00:00.000+03:00,"🎨 DRAW CHECK bar=104: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-08-11T03:00:00.000+03:00,"📊 BUY CHECK bar=105: low=0.214, o2=0.196"
2022-08-11T03:00:00.000+03:00,"📊 Positions: pos1=true, pos2=false, pos3=false"
2022-08-11T03:00:00.000+03:00,"📊 Touches: t1=true, t2=false, t3=false, stage=1"
